movieTitle,tomatometer_rating,audience_rating
Clown,44.0,37.0
Clowntergeist,17.0,29.0
ClownTown,9.0,30.0
Club Dread,29.0,44.0
Club Life,20.0,17.0
Club Paradise,11.0,35.0
Clue,65.0,86.0
Clueless,82.0,76.0
Coach Carter,64.0,85.0
Coachella,88.0,75.0
Coal Miners Daughter,86.0,86.0
Cobb,65.0,59.0
Cobra,14.0,42.0
Cobra Verde,82.0,76.0
The Cockettes,91.0,83.0
Cockneys vs Zombies,76.0,45.0
Cocktail,7.0,58.0
Cocktail,60.0,44.0
Coco,97.0,94.0
Coco Before Chanel,64.0,57.0
Coco Chanel  Igor Stravinsky,53.0,43.0
Cocoon The Return,33.0,35.0
Coda,50.0,57.0
Thick as Thieves The Code,20.0,33.0
Code 46,51.0,58.0
Code 8,79.0,63.0
Code Black,88.0,80.0
Code Name Geronimo,36.0,28.0
Code Name The Cleaner,4.0,38.0
Code of Silence,63.0,51.0
Code Unknown Code inconnu Recit incomplet de divers voyages,75.0,79.0
Codegirl,60.0,71.0
Coffee and Cigarettes,64.0,75.0
Coffee  Kareem,20.0,30.0
Coffin Rock,70.0,30.0
Coffy,79.0,76.0
COG,69.0,35.0
Coherence,88.0,81.0
Cold Brook,80.0,83.0
Cold Comes The Night,44.0,29.0
Cold Creek Manor,12.0,23.0
Cold Fish,74.0,75.0
Cold in July,83.0,67.0
Cold Moon,70.0,34.0
Cold Mountain,71.0,77.0
Cold November,100.0,63.0
Cold Pursuit,69.0,49.0
Cold Skin,48.0,56.0
Cold Souls,75.0,54.0
Cold Sweat Sudor frio,75.0,42.0
Cold Turkey,60.0,65.0
Cold Turkey,20.0,37.0
Cold War 2,56.0,57.0
Cold Weather,78.0,52.0
Coldwater,64.0,60.0
Colette,87.0,69.0
Collaborator,73.0,61.0
Collateral,86.0,84.0
Collateral Beauty,14.0,64.0
College Road Trip,12.0,50.0
Collide,23.0,34.0
Colliding Dreams,94.0,62.0
Colma The Musical,90.0,69.0
Colombiana,28.0,67.0
Colonia,26.0,61.0
The Color of Lies Au coeur du mensonge,100.0,60.0
Color of Freedom,44.0,63.0
The Color of Friendship,100.0,76.0
The Color of Money,89.0,73.0
Color of Night,22.0,30.0
The Color of Paradise,87.0,96.0
Color Out of Space,86.0,82.0
The Color Purple,81.0,94.0
Colossal,81.0,59.0
Color Me Kubrick,51.0,42.0
The Comancheros,100.0,75.0
Combat Shock Fuerza en combate,40.0,65.0
Come And Find Me,62.0,33.0
Come As You Are,94.0,79.0
Come Back Little Sheba,86.0,80.0
Come Back To Me,17.0,36.0
Come Out And Play,48.0,23.0
Come See the Paradise,64.0,73.0
Come Sunday,68.0,60.0
Come to Daddy,87.0,75.0
Come Undone Cosa voglio di piu,86.0,50.0
Come Undone,77.0,67.0
Come What May,43.0,56.0
The Comebacks,9.0,33.0
Comedian,77.0,69.0
The Comedians,27.0,48.0
The Comedians of Comedy,44.0,83.0
Comes A Bright Day,38.0,34.0
Comes a Horseman,70.0,54.0
Comet,42.0,52.0
Comic Book Confidential,75.0,62.0
Comic Book  The Movie,40.0,39.0
ComicCon Episode IV  A Fans Hope,82.0,79.0
Coming Through The Rye,70.0,65.0
Coming to America,65.0,85.0
Coming to My Senses,80.0,57.0
Coming Up Roses,17.0,71.0
Commandments,24.0,36.0
Commitment,40.0,58.0
Commune,95.0,46.0
Compadres,38.0,51.0
Company Man,14.0,44.0
The Company of Wolves,80.0,73.0
A Complete History of My Sexual Failures,56.0,56.0
Complete Unknown,52.0,24.0
Compliance,89.0,60.0
Compulsion,100.0,86.0
Computer Chess,88.0,53.0
The Computer Wore Tennis Shoes,50.0,40.0
Comradeship Kameradschaft,89.0,79.0
Con Artist,100.0,85.0
Con Air,56.0,75.0
Conan OBrien Cant Stop,82.0,68.0
Conan the Barbarian,64.0,74.0
Conan the Barbarian,25.0,30.0
Conan the Destroyer,25.0,38.0
Concerning Violence,90.0,71.0
Concussion,75.0,58.0
Concussion,59.0,74.0
The Condemned,15.0,58.0
Condorman,23.0,65.0
Coneheads,35.0,37.0
Confessions of a Burning Man,30.0,60.0
Confessions of a Dangerous Mind,79.0,75.0
Confessions of a Shopaholic,25.0,49.0
Confessions of a Superhero,100.0,73.0
Confessions of a Teenage Drama Queen,14.0,35.0
Confetti,57.0,48.0
Confidence,69.0,70.0
Confirmation,83.0,74.0
Confucius,45.0,38.0
Congo,22.0,29.0
Congo White King Red Rubber Black Death,100.0,80.0
Connected An Autoblogography About Love Death  Technology,36.0,46.0
Conor McGregor Notorious,50.0,72.0
Conquest Of The Planet Of The Apes,50.0,46.0
Conspiracy Theory,57.0,64.0
The Constant Gardener,83.0,82.0
Constantine,46.0,72.0
Constantines Sword,87.0,77.0
Contagion,85.0,63.0
Contamination,40.0,29.0
Conte dhiver A Tale of Winter,95.0,80.0
Contempt,93.0,85.0
Continental Divide,70.0,53.0
Contraband,52.0,57.0
Contract Killer,80.0,53.0
Contract to Kill,0.0,18.0
Contracted,53.0,29.0
Contracted Phase II,38.0,14.0
Control,88.0,89.0
Conventioneers,75.0,59.0
The Conversation,96.0,90.0
Conviction,67.0,70.0
Coogans Bluff,94.0,50.0
Cook Off,25.0,64.0
The Cook the Thief His Wife  Her Lover,85.0,88.0
Cookie,15.0,39.0
Cookies Fortune,86.0,65.0
The Cookout,5.0,37.0
Cool as Ice,6.0,44.0
A Cool Dry Place,54.0,59.0
Cool Hand Luke,100.0,95.0
Cool It,52.0,74.0
The Cooler,77.0,69.0
Cooley High,85.0,89.0
Cooties,45.0,37.0
Cop,83.0,48.0
Cop  12,14.0,34.0
Cop Car,80.0,53.0
Cop Land,75.0,67.0
Cop Out,19.0,40.0
Copperhead,21.0,45.0
Cops And Robbersons,14.0,22.0
Copwatch,60.0,87.0
Copying Beethoven Klang der Stille,28.0,56.0
Coral Reef Adventure,91.0,73.0
Coraline,90.0,73.0
The Core,40.0,34.0
Coriolanus,92.0,58.0
Corky Romano,7.0,39.0
Cormans World Exploits Of A Hollywood Rebel,92.0,84.0
Corpo Celeste,83.0,45.0
Corporate Animals,25.0,15.0
The Corporation,90.0,90.0
Tim Burtons Corpse Bride,84.0,77.0
Correspondence La corrispondenza,14.0,36.0
Corrina Corrina,39.0,69.0
The Corruptor,48.0,43.0
Corvette Summer,50.0,43.0
Cosmopolis,65.0,31.0
Cost of a Soul,27.0,48.0
Cottage Country,20.0,29.0
The Cotton Club,76.0,55.0
The Couch Trip,33.0,45.0
Count Yorga Vampire,44.0,42.0
Countdown,26.0,72.0
Countdown to Zero,79.0,72.0
Counterfeiters,71.0,91.0
The Country Bears,31.0,33.0
Country Strong,22.0,53.0
The Aryan Couple The Couple,12.0,57.0
Couples Retreat,10.0,39.0
Courage Under Fire,85.0,66.0
Courageous,36.0,86.0
Court,98.0,79.0
The Court Jester,96.0,94.0
Cousin Jules,100.0,83.0
Cousins,50.0,67.0
The Covenant,4.0,62.0
Cover,0.0,78.0
The Cowboys,79.0,88.0
The Wicker Tree,27.0,10.0
Cowboys  Aliens,44.0,43.0
Coyote Lake,83.0,83.0
Coyote Ugly,23.0,71.0
CQ,66.0,69.0
Crack in the World,86.0,41.0
Cracks,43.0,48.0
Cradle 2 the Grave,25.0,52.0
Cradle of Champions,100.0,63.0
Cradle Will Rock,64.0,71.0
The Craft,56.0,65.0
Craigslist Joe,33.0,64.0
Crank,61.0,71.0
Crank 2 High Voltage,64.0,49.0
Crash Pad,54.0,53.0
Crave,31.0,26.0
Crawford,100.0,72.0
Crawl,63.0,20.0
Crawl,83.0,75.0
The Crazies,67.0,43.0
CrazyBeautiful,63.0,69.0
Crazy About Tiffanys,27.0,36.0
Crazy as Hell,53.0,54.0
Crazy Eyes,25.0,21.0
Crazy Heart,90.0,76.0
Crazy Horse,85.0,52.0
Crazy in Alabama,30.0,64.0
Crazy Love,79.0,73.0
Crazy on the Outside,8.0,28.0
Crazy People,37.0,62.0
Crazy Rich Asians,91.0,76.0
Crazy Stupid Love,79.0,78.0
Creative Control,60.0,38.0
Creator,38.0,76.0
Creature,40.0,12.0
Creature,10.0,17.0
Creed,95.0,89.0
Creed II,83.0,80.0
Creep,89.0,65.0
Creep 2,100.0,72.0
Creeping Flesh,83.0,54.0
Creepshow,73.0,68.0
Creepshow 2,30.0,40.0
Creepy Kuripi Itsuwari no rinjin,90.0,57.0
Cries and Whispers,90.0,91.0
Crime After Crime,91.0,82.0
Crime  Punishment in Suburbia,21.0,58.0
The Crime of Padre Amaro,61.0,74.0
Crime Spree,33.0,56.0
Crimes of Passion,36.0,55.0
Crimes of the Heart,81.0,65.0
Criminal,30.0,47.0
Criminal Activities,48.0,42.0
Criminal Law,33.0,26.0
Crimson Peak,72.0,55.0
The Crimson Pirate,100.0,85.0
Crimson Tide,88.0,83.0
Crip Camp A Disability Revolution,100.0,92.0
Criss Cross,92.0,80.0
Critical Care,59.0,30.0
Critical Thinking,93.0,85.0
Critters,52.0,45.0
Critters 2 The Main Course,25.0,36.0
Critters 3,0.0,23.0
Critters Attack,44.0,26.0
Crna macka beli macor Black Cat White Cat,83.0,95.0
Crocodile Dundee,88.0,59.0
Crocodile Dundee II,10.0,38.0
Crocodile Dundee in Los Angeles,11.0,25.0
Cromwell,43.0,69.0
Cronicas,71.0,77.0
Cronos,91.0,69.0
Crooked Arrows,41.0,62.0
Crooked House,57.0,56.0
Crooklyn,77.0,90.0
Cropsey,91.0,61.0
Cross Creek,67.0,75.0
Cross of Iron,75.0,87.0
Crossfire,82.0,74.0
Crossfire Trail,40.0,77.0
Crossing Delancey,88.0,78.0
The Crossing Guard,75.0,53.0
Crossing Over,16.0,49.0
Crossing the Line,90.0,85.0
Crossover,2.0,59.0
Crossworlds,20.0,41.0
Crouching Tiger Hidden Dragon,97.0,86.0
The Crow,83.0,90.0
The Crow  Salvation,22.0,43.0
The Crow City of Angels,12.0,40.0
Crown and Anchor,100.0,63.0
Crown Heights,77.0,77.0
Crown Vic,58.0,73.0
CRSHD,75.0,60.0
Cruel Intentions,54.0,81.0
Cruel Intentions 2,17.0,21.0
The Cruise,86.0,88.0
Cruise,38.0,71.0
Cruising,50.0,48.0
Crumb,95.0,89.0
Crush The Skull,100.0,54.0
Crusoe,67.0,43.0
CryBaby,73.0,77.0
Cry Freedom,76.0,88.0
Evil Angels A Cry in the Dark,93.0,74.0
Cry of the Owl,11.0,20.0
Cry_Wolf,24.0,51.0
The Crying Game,94.0,78.0
Crypto,17.0,59.0
Crystal Fairy,83.0,50.0
CSA The Confederate States of America,80.0,56.0
CSNY Deja Vu,68.0,71.0
Cthulhu,62.0,28.0
Cub Welp,38.0,33.0
Cuba And The Cameraman,100.0,93.0
Cuban Fury,54.0,43.0
Cubby,73.0,56.0
Cube,63.0,76.0
Cube 2  Hypercube,45.0,35.0
Cuck,44.0,65.0
Cujo,63.0,45.0
Cult of Chucky,79.0,46.0
Cunningham,89.0,88.0
Cupcakes,78.0,62.0
Curdled,17.0,58.0
The Curious Case of Benjamin Button,72.0,80.0
Curly Sue,13.0,50.0
Curse of Chucky,76.0,56.0
The Curse of Frankenstein,78.0,77.0
The Curse of the Cat People,87.0,66.0
Curse of the Demon,100.0,85.0
Curse of the Golden Flower,65.0,65.0
The Curse of the Jade Scorpion,46.0,53.0
Curse of the Pink Panther,29.0,24.0
Curtains,57.0,39.0
Curtiz,57.0,64.0
Curvature,47.0,54.0
Dead Mans Curve,11.0,53.0
Custer of the West,25.0,32.0
Cut,11.0,25.0
Cut Bank,37.0,29.0
Cut Shoot Kill,71.0,50.0
Cut Sleeve Boys,42.0,49.0
Cut Snake,69.0,46.0
Cutie And The Boxer,95.0,75.0
Cutters Way,91.0,70.0
Cutthroat Island,38.0,40.0
CyberSeniors,80.0,58.0
Cypher,58.0,65.0
Cyrano de Bergerac,78.0,81.0
Cyrus,80.0,53.0
D2 The Mighty Ducks,20.0,59.0
D3 The Mighty Ducks,20.0,45.0
DTox Eye See You,18.0,28.0
The D Train,53.0,23.0
Da Sweet Blood of Jesus,47.0,19.0
The Da Vinci Code,26.0,57.0
Dabangg,60.0,60.0
Dad,60.0,60.0
Daddy Day Camp,1.0,38.0
Daddy Day Care,27.0,48.0
Daddy Issues,0.0,63.0
Daddys Home 2,21.0,50.0
Daddys Home,31.0,49.0
Daddys Little Girls,26.0,81.0
Dads Army,31.0,36.0
Daffodils,60.0,63.0
Dagon,69.0,56.0
Daguerrotype Le secret de la chambre noire,53.0,50.0
Dahmer,69.0,40.0
DaiNipponjin Big Man Japan,77.0,54.0
Daisy Kenyon,100.0,58.0
Daisy Miller,75.0,29.0
Daleks  Invasion Earth 2150 AD,67.0,53.0
Dalida,33.0,88.0
Dallas Buyers Club,93.0,91.0
Damage,78.0,73.0
Damascus Cover,14.0,59.0
Dames,60.0,65.0
DamienOmen II,44.0,49.0
Damn the Defiant,100.0,62.0
Damnation Alley,44.0,34.0
The Damned United,92.0,85.0
Damsel,67.0,55.0
Damsels in Distress,75.0,39.0
Dan in Real Life,65.0,69.0
Dana Carvey  Squatting Monkeys Tell No Lies,20.0,63.0
Dance Academy The Comeback,100.0,81.0
Dance Flick,18.0,30.0
Dance Girl Dance,83.0,65.0
Dance Me Outside,69.0,91.0
Dance with Me,51.0,67.0
Dancer,88.0,86.0
Dancer in the Dark,69.0,91.0
Dancer Texas Pop 81,80.0,72.0
The Dancer Upstairs,64.0,76.0
Dances With Wolves,83.0,87.0
Dancing Across Borders,57.0,70.0
Dancing at Lughnasa,64.0,58.0
Dancing at the Blue Iguana,23.0,42.0
Dancing In Jaffa,88.0,73.0
Dancing Lady,80.0,69.0
Danger Close,20.0,81.0
Danger Close,71.0,71.0
Danger Diabolik,64.0,71.0
Dangerous Beauty,68.0,86.0
Dangerous Ishhq,20.0,31.0
Dangerous Liaisons,68.0,54.0
Dangerous Lies Windfall,25.0,22.0
The Dangerous Lives of Altar Boys,77.0,79.0
Dangerous Minds,29.0,64.0
A Dangerous Woman,50.0,31.0
Daniel,43.0,56.0
Daniel  Ana,56.0,89.0
Daniel Isnt Real,82.0,56.0
Danika,29.0,32.0
Danny Collins,77.0,73.0
Danny Deckchair,55.0,77.0
Danny Says,74.0,51.0
Unleashed,66.0,75.0
Dantes Peak,26.0,38.0
Darby OGill and the Little People,100.0,77.0
Dare,57.0,34.0
Daredevil,44.0,35.0
The Darjeeling Limited,69.0,78.0
Dark Shadows,36.0,46.0
Dark Blue,59.0,52.0
Dark Blue World,62.0,84.0
Dark City,76.0,85.0
Dark Crimes,0.0,30.0
The Dark Crystal,79.0,81.0
Dark Days,94.0,89.0
Dark Encounter Transience,67.0,43.0
Harlequin Dark Forces The Ministers Magician,40.0,48.0
Entre tinieblas Dark Habits Dark Hideout,69.0,69.0
The Dark Half,58.0,37.0
Dark Horse,70.0,41.0
Dark Matter,40.0,40.0
Dark Night of the Scarecrow,50.0,65.0
The Mercenaries Dark of the Sun,67.0,77.0
Dark Passage,93.0,82.0
Dark Phoenix,22.0,64.0
Dark Places,23.0,33.0
Dark River,80.0,64.0
Dark Signal,33.0,33.0
Dark Skies,41.0,49.0
Dark Summer,29.0,15.0
Dark Tide,0.0,16.0
Dark Touch,64.0,28.0
Dark Victory,88.0,81.0
Dark Was The Night,52.0,35.0
Dark Water,47.0,28.0
Dark Waters,90.0,95.0
Darkest Hour,84.0,82.0
Darkman,84.0,59.0
Darkman II The Return of Durant,29.0,19.0
Darkman III Die Darkman Die,33.0,20.0
Darkness,4.0,30.0
Darkness Falls,9.0,34.0
Darkon,89.0,65.0
Darlin,70.0,50.0
Darling,71.0,44.0
Darling Companion,21.0,29.0
Darling Lili,40.0,69.0
DARYL,53.0,54.0
Das finstere Tal The Dark Valley,33.0,66.0
Das Versprechen The Promise,71.0,75.0
Date And Switch,30.0,37.0
Date Night,66.0,55.0
Date with an Angel,14.0,58.0
American Experience,79.0,60.0
Daughter of the Wolf,22.0,40.0
Daughters of the Dust,98.0,64.0
Daughters of the Sexual Revolution The Untold Story of the Dallas Cowboys Cheerleaders,83.0,89.0
Dave,95.0,72.0
Dave Chappelle Sticks  Stones,35.0,99.0
David and Bathsheba,83.0,31.0
David  Layla,53.0,43.0
David and Lisa,83.0,79.0
David Cross Making America Great Again,71.0,57.0
Davy Crockett King of the Wild Frontier,100.0,79.0
Dawn of the Dead,75.0,77.0
Dawn Of The Planet Of The Apes,90.0,88.0
Dawn Patrol,0.0,11.0
The Day After Tomorrow,44.0,50.0
A Day at the Races,94.0,89.0
Day for Night,100.0,91.0
Day Night Day Night,67.0,56.0
Day of the Dead Bloodline,13.0,9.0
Day of the Falcon,11.0,51.0
Day of the Flowers,58.0,52.0
The Day of the Jackal,89.0,88.0
The Day of the Locust,60.0,76.0
Day of the Outlaw,100.0,70.0
The Day the Earth Stood Still,21.0,27.0
Day Watch,62.0,68.0
Day Zero,24.0,44.0
Daybreakers,69.0,49.0
Daydream Nation,68.0,50.0
Daylight,27.0,37.0
Daylight,91.0,63.0
Daylight Robbery,22.0,45.0
Giorni e Nuvole Days and Clouds,81.0,62.0
Days and Nights,0.0,36.0
Days of Glory,83.0,79.0
Days of Grace,65.0,62.0
Days of Heaven,92.0,89.0
Days of Thunder,38.0,60.0
The Daytrippers,73.0,74.0
Dazed and Confused,92.0,90.0
DC Cab,14.0,53.0
DCU Justice League The Flashpoint Paradox,100.0,92.0
Ddongpari Breathless,84.0,82.0
De rouille et dos Rust and Bone,82.0,80.0
De Sade,0.0,25.0
De zaak Alzheimer The Memory of a Killer,84.0,80.0
Dead Man Running,14.0,52.0
Dylan Dog Dead of Night,7.0,29.0
Dead or Alive Hanzaisha,55.0,74.0
Dead Again,83.0,77.0
Dead Alive,88.0,87.0
Dead and Buried,75.0,58.0
Dead Ant,64.0,46.0
Dead Awake,20.0,17.0
Dead Bang,33.0,44.0
Dead Calm,83.0,63.0
Dead Dicks,100.0,58.0
Dead End,91.0,76.0
Dead Heat on a MerryGoRound,40.0,34.0
Dead Hooker in a Trunk,80.0,42.0
Dead Kids,17.0,76.0
Dead Man,71.0,88.0
Dead Man Down,40.0,47.0
Dead Man on Campus,15.0,55.0
Dead Mans Burden,74.0,49.0
Dead Mans Shoes,58.0,91.0
Dead Men Dont Wear Plaid,79.0,72.0
Dead Night,63.0,52.0
Dead of Night Deathdream,83.0,64.0
Dead of Winter,77.0,46.0
Dead or Alive Final,42.0,40.0
Dead Poets Society,84.0,92.0
The Dead Pool,55.0,44.0
Dead Ringer,100.0,80.0
Dead Ringers,83.0,82.0
Dead Silence,20.0,51.0
Dead Snow Dd sn,69.0,56.0
Dead Snow 2 Red vs Dead Dd sn 2,81.0,68.0
Dead Water,17.0,24.0
The Dead Zone,89.0,77.0
Deadfall,34.0,37.0
Deadline,0.0,53.0
Deadly Blessing,14.0,28.0
The Deadly Companions Trigger Happy,83.0,32.0
Deadly Friend,8.0,38.0
Deadpool,85.0,90.0
Deadpool 2,83.0,85.0
Deadtectives,63.0,58.0
Deadtime Stories,0.0,21.0
Deal of the Century,11.0,17.0
Dealing With Idiots,37.0,31.0
Dealt,96.0,84.0
Dear Lemon Lima,75.0,64.0
Dear Diary Caro diario,68.0,85.0
Dear Dictator,16.0,43.0
Dear Ex,89.0,88.0
Dear Frankie,81.0,90.0
Dear God,12.0,28.0
Dear Heart,40.0,66.0
Dear Jesse,86.0,63.0
Dear John,29.0,55.0
Dear Mr Watterson,62.0,51.0
Dear Wendy,36.0,66.0
Dear White People,91.0,61.0
Death and the Maiden,82.0,81.0
Death at a Funeral,62.0,79.0
Death at a Funeral,43.0,45.0
Death Becomes Her,54.0,61.0
Death by China,38.0,72.0
Death Defying Acts,42.0,26.0
Death House,40.0,39.0
Death Line Raw Meat,91.0,44.0
Death Note,38.0,24.0
Death of a Cyclist Muerte de un ciclista,100.0,86.0
Death of a President,38.0,58.0
Death Proof,64.0,72.0
Death Race,42.0,60.0
Death Race 2,17.0,37.0
Death Race 2000,83.0,64.0
Death Race 3 Inferno,50.0,45.0
Da uomo a uomo Death Rides A Horse As Man to Man,40.0,71.0
Death Sentence,20.0,60.0
Death Takes a Holiday,88.0,80.0
Death to Smoochy,42.0,66.0
Death Wish,68.0,68.0
Death Wish,18.0,71.0
Death Wish 3,11.0,54.0
Death Wish 4 The Crackdown,14.0,40.0
Death Wish II,33.0,44.0
Death Wish V The Face of Death,0.0,32.0
Deathgasm,88.0,66.0
The Deaths of Ian Stone,57.0,34.0
Deathstroke Knights  Dragons,80.0,57.0
Deathtrap,71.0,71.0
DEBS,39.0,55.0
Debt Collectors,82.0,38.0
Decasia,86.0,81.0
Deceiver,48.0,58.0
December Boys,41.0,52.0
Deception,11.0,31.0
Deceptive Practice The Mysteries and Mentors of Ricky Jay,92.0,71.0
Decision Before Dawn,100.0,71.0
Deck the Halls,6.0,30.0
Declaration of War,86.0,70.0
The Decline of Western Civilization Part II The Metal Years,90.0,77.0
Decoding Annie Parker,56.0,41.0
Decoding Deepak,55.0,59.0
Dead Sushi,100.0,52.0
Dedication,40.0,64.0
The Deep,48.0,38.0
Deep Blue Sea 2,0.0,10.0
Deep Blue Sea 3,69.0,38.0
The Deep End,82.0,59.0
The Deep End of the Ocean,43.0,59.0
Deep Impact,45.0,43.0
Deep Red Profondo rosso,96.0,86.0
Deep Rising,28.0,43.0
Deep Sea 3D,91.0,79.0
Deep Web,79.0,72.0
Deeply,20.0,59.0
DeepStar Six,9.0,24.0
Deepwater Horizon,83.0,82.0
Deerskin,87.0,71.0
Defamation,85.0,75.0
Defending Your Life,97.0,83.0
Defendor,74.0,58.0
Defence of the Realm Defense of the Realm,100.0,69.0
Defiance,58.0,72.0
The Defiant Ones,83.0,87.0
Deidra  Laney Rob a Train,92.0,57.0
Deja Vu,56.0,73.0
Delgo,11.0,26.0
Delhi 6,36.0,41.0
Delhi Belly,88.0,82.0
Delhi Safari,20.0,35.0
Deli Man,81.0,66.0
Delicatessen,89.0,91.0
Delirious,44.0,39.0
Delirium,0.0,39.0
Deliver Us From Eva,44.0,76.0
Deliver Us from Evil,100.0,89.0
Deliver Us from Evil,29.0,42.0
Deliverance,89.0,82.0
Delivery Man,39.0,47.0
Delivery The Beast Within,71.0,30.0
DeLovely,48.0,66.0
Delta Farce,5.0,38.0
The Delta Force,18.0,49.0
Delta Force 2 The Colombian Connection,11.0,40.0
Delta of Venus,0.0,50.0
Dementia 13,63.0,35.0
Demetrius and the Gladiators,83.0,64.0
Demolition,53.0,54.0
Demolition Man,60.0,66.0
Demon,92.0,56.0
Demon House,50.0,62.0
Demon Seed,55.0,46.0
Demonlover,50.0,40.0
Demons 2 The Nightmare Returns,60.0,44.0
Den of Thieves,41.0,62.0
Denial,82.0,71.0
Denise Ho Becoming the Song,90.0,63.0
Dennis the Menace,27.0,38.0
The Dentist 2 Brace Yourself,0.0,24.0
The Departed,91.0,94.0
Depraved,84.0,46.0
The Circle,100.0,78.0
Der Samurai,100.0,52.0
Derailed,21.0,58.0
Derailroaded,82.0,83.0
Derrida,82.0,58.0
Dersu Uzala,73.0,94.0
Descendants 2,71.0,70.0
The Descent,85.0,76.0
Desert Bayou,78.0,59.0
Desert Blue,37.0,47.0
Desert Dancer,33.0,62.0
The Desert Fox,71.0,62.0
Desert Hearts,95.0,76.0
The Desert Rats,83.0,70.0
Desert Saints,29.0,54.0
Desierto,63.0,47.0
Designing Woman,82.0,69.0
Desk Set,100.0,83.0
Desperate Acts Of Magic,60.0,70.0
Desperate Living,70.0,80.0
Desperate Measures,19.0,37.0
Desperately Seeking Susan,83.0,62.0
Despicable Me 2,75.0,85.0
Despicable Me 3,58.0,53.0
Despite The Falling Snow,9.0,44.0
Destination Tokyo,80.0,65.0
Destination Wedding,51.0,58.0
Destiny Der mude Tod,90.0,88.0
Destiny Turns on the Radio,17.0,21.0
Destroy All Monsters,75.0,68.0
Destroyer,73.0,50.0
Destry Rides Again,96.0,82.0
Detachment,57.0,74.0
The Detective,100.0,46.0
Detective Dee and the Mystery of the Phantom Flame,80.0,62.0
Detective Story,75.0,72.0
Detention,41.0,46.0
Detention Of The Dead,57.0,24.0
Deterrence,46.0,59.0
Detour,100.0,78.0
Detour,65.0,42.0
Detroit,82.0,79.0
Detroit 9000,25.0,49.0
Detroit Rock City,48.0,82.0
Detropia,86.0,63.0
Deuce Bigalow Male Gigolo,22.0,42.0
Deuce Bigalow European Gigolo,9.0,33.0
Deuces Wild,3.0,51.0
Devil,50.0,43.0
The Devil and Max Devlin,18.0,25.0
The Devil and Miss Jones,100.0,81.0
The Devil Came on Horseback,96.0,90.0
Devil in a Blue Dress,88.0,70.0
The Devils Advocate,63.0,80.0
The Devils Backbone El Espinazo del diablo,92.0,89.0
The Devils Brigade,60.0,69.0
The Devils Chair,60.0,33.0
Devils Due,18.0,21.0
Devils Gate,38.0,24.0
Devils Knot,24.0,39.0
Devils on the Doorstep Guizi lai le,91.0,95.0
The Devils Own,35.0,41.0
The Devils Rejects,54.0,78.0
The Dhamma Brothers,83.0,78.0
Dheepan,87.0,82.0
Mumbai Diaries,65.0,70.0
Dhoom 2,92.0,77.0
Diablo,19.0,27.0
Dial A Prayer,71.0,39.0
Dial M for Murder,89.0,92.0
Diamonds Are Forever,64.0,58.0
Diana,8.0,25.0
Diana Kennedy Nothing Fancy,100.0,63.0
Diana Vreeland The Eye Has To Travel,94.0,79.0
Diane,93.0,70.0
Diane,88.0,46.0
Diary of the Dead,62.0,41.0
Diary of a Chambermaid Le journal dune femme de chambre,87.0,83.0
Diary of a Lost Girl Tagebuch einer Verlorenen,100.0,88.0
Diary of a Mad Black Woman,16.0,87.0
Diary of a Wimpy Kid,54.0,49.0
Diary of a Wimpy Kid 2 Rodrick Rules,47.0,61.0
Diary of a Wimpy Kid Dog Days,52.0,63.0
Diary Of A Wimpy Kid The Long Haul,18.0,32.0
The Diary of Anne Frank,79.0,77.0
The Diary of Ellen Rimbauer,17.0,50.0
Dickie Roberts Former Child Star,22.0,46.0
Die Another Day,57.0,41.0
Die Die My Darling,50.0,58.0
Die Falschung Circle of Deceit,100.0,71.0
Die Hard,94.0,94.0
Die Hard 2,69.0,70.0
Die Hard With a Vengeance,59.0,83.0
Die Monster Die,71.0,40.0
Die Wand The Wall,78.0,71.0
Dig,89.0,90.0
Dig Two Graves,71.0,39.0
Diggers,70.0,57.0
Digging For Fire,66.0,41.0
Digging to China,43.0,73.0
Digging Up the Marrow,60.0,41.0
Diggstown,60.0,77.0
Dil Bole Hadippa My Heart Goes Hooray,63.0,56.0
Dilili in Paris Dilili a Paris,61.0,48.0
Dim Sum A Little Bit of Heart,88.0,52.0
Dim Sum Funeral,0.0,36.0
Diminished Capacity,35.0,37.0
Diner,93.0,78.0
Dinner for Schmucks,42.0,42.0
The Dinner Game Le Diner de cons,74.0,90.0
Dinner with Friends,90.0,47.0
Dinosaur 13,73.0,76.0
Dinosaurs Alive 3D,75.0,36.0
Dinosaurs Giants of Patagonia,100.0,52.0
Dinotasia,25.0,46.0
Dior and I,84.0,76.0
Diplomacy,94.0,81.0
Dirt Music,29.0,55.0
Dirty Dancing,68.0,90.0
Dirty Dancing,19.0,16.0
Dirty Dancing Havana Nights,23.0,73.0
The Dirty Dozen,85.0,90.0
Dirty Girl,33.0,53.0
Dirty Grandpa,11.0,44.0
Dirty Harry,89.0,90.0
Dirty Love,6.0,68.0
Dirty Mary Crazy Larry,47.0,68.0
Dirty Pretty Things,94.0,82.0
Dirty Rotten Scoundrels,89.0,84.0
A Dirty Shame,53.0,51.0
Dirty Wars,85.0,74.0
Disappearance at Clifton Hill,73.0,44.0
The Disappearance of Alice Creed,81.0,67.0
The Disappearance of Garcia Lorca,29.0,58.0
Disappearances,52.0,44.0
Disappearing Acts,60.0,85.0
Disaster Movie,1.0,21.0
Disclosure,59.0,41.0
