movieTitle,tomatometer_rating,audience_rating
Forever Strong,29.0,75.0
Chocolate,74.0,73.0
Fireproof,38.0,82.0
Dostana,87.0,68.0
The Garden,79.0,85.0
Splinter,73.0,49.0
Leaves of Grass,61.0,49.0
Rab Ne Bana Di Jodi A Couple Made by God A Match Made in Heaven,78.0,71.0
The Proposal,45.0,67.0
Gigantic,36.0,34.0
Fuel,72.0,82.0
Hush,50.0,37.0
Anna Karenina,93.0,69.0
Orphan,56.0,63.0
My Sisters Keeper,48.0,72.0
The Hangover,78.0,84.0
The Stepfather,11.0,35.0
Okuribito Departures,80.0,92.0
Boogie Summer Holiday,100.0,67.0
Prima Ballerina,81.0,100.0
Season of the Witch,11.0,30.0
Shuttle,50.0,36.0
Miss March,5.0,29.0
An American Affair,16.0,41.0
Grace,71.0,31.0
Endgame,71.0,57.0
The Red Baron Der rote Baron,20.0,43.0
The Objective,33.0,32.0
Happy Tears,27.0,21.0
The Missing Person,64.0,44.0
Polanski Polanski Unauthorized,0.0,38.0
Mammoth Mammut,45.0,63.0
Crude,95.0,85.0
The Messenger,90.0,75.0
Lake Mungo,95.0,62.0
Venkovsky Ucitel The Country Teacher,81.0,72.0
The Apartment,93.0,94.0
Chatham The Golden Boys,28.0,22.0
The Ape,43.0,12.0
Fame,24.0,36.0
Outrage,77.0,76.0
Skin,84.0,79.0
Helen,67.0,36.0
Bakjwi Thirst,81.0,75.0
Vengeance Fuk sau,91.0,60.0
New World Order,56.0,48.0
April Fools Day,50.0,47.0
Blood The Last Vampire,25.0,33.0
Shrink,27.0,50.0
Ong Bak 2,48.0,53.0
Bananas,86.0,44.0
Last Ride,93.0,65.0
Tron Legacy,51.0,63.0
The Canyon,27.0,32.0
Manson My Name Is Evil,67.0,27.0
Broken Hill,50.0,61.0
A Beautiful Life,0.0,24.0
Suck,50.0,53.0
Chloe,51.0,39.0
Armed and Dangerous,10.0,39.0
The Hole,81.0,46.0
NoBodys Perfect,73.0,87.0
The Good Soldier,75.0,80.0
High Life,80.0,43.0
Around the World in 80 Days,69.0,57.0
The Fall,20.0,63.0
The Good Heart,30.0,58.0
Wonderful World,42.0,33.0
Collapse,83.0,83.0
Three Blind Mice,80.0,50.0
The Last Song,21.0,66.0
Babies,68.0,62.0
Lottery Ticket,34.0,44.0
Going the Distance,54.0,52.0
Life as We Know It,29.0,61.0
The Final,13.0,32.0
