movie_title,genres,tomatometer_rating,tomatometer_count,audience_rating,audience_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Julius Caesar,"Action & Adventure, Art House & International, Classics, Drama",40.0,5.0,35.0,2698.0,2,3
Jungle Book,"Action & Adventure, Classics, Drama",57.0,14.0,56.0,897.0,8,6
Kansas,"Action & Adventure, Drama, Mystery & Suspense",20.0,10.0,19.0,1402.0,2,8
Kickboxer,"Action & Adventure, Drama",36.0,11.0,65.0,51359.0,4,7
Kid Galahad,"Classics, Drama, Musical & Performing Arts",40.0,5.0,57.0,5126.0,2,3
The Killer Elite,"Action & Adventure, Drama, Mystery & Suspense",50.0,14.0,34.0,2003.0,7,7
The King and I,"Classics, Musical & Performing Arts, Romance",96.0,26.0,83.0,61003.0,25,1
King Kong,"Action & Adventure, Classics, Horror",98.0,64.0,86.0,90136.0,63,1
King Kong,"Action & Adventure, Horror, Science Fiction & Fantasy",53.0,40.0,31.0,57614.0,21,19
The King of Comedy,"Comedy, Drama, Mystery & Suspense",89.0,62.0,90.0,27041.0,55,7
King of Kings,"Classics, Drama, Faith & Spirituality",85.0,20.0,77.0,4345.0,17,3
King Solomon's Mines,"Action & Adventure, Classics, Drama",92.0,12.0,59.0,3242.0,11,1
The Lady Vanishes,"Classics, Mystery & Suspense",98.0,44.0,88.0,13018.0,43,1
The Ladykillers,"Art House & International, Classics, Comedy, Drama, Mystery & Suspense",100.0,26.0,87.0,10533.0,26,0
Laura,"Classics, Mystery & Suspense",100.0,64.0,90.0,10781.0,64,0
Legend,"Drama, Science Fiction & Fantasy",38.0,40.0,73.0,101568.0,15,25
Les Miserables,"Classics, Drama",83.0,12.0,85.0,3463.0,10,2
The Letter,"Classics, Drama",100.0,13.0,82.0,3725.0,13,0
Lilies of the Field,"Classics, Comedy, Drama",91.0,23.0,86.0,6139.0,21,2
The Lion in Winter,"Classics, Drama",90.0,40.0,90.0,13105.0,36,4
The Little Drummer Boy,"Animation, Art House & International, Kids & Family",75.0,12.0,57.0,45.0,9,3
Little Lord Fauntleroy,"Classics, Drama, Kids & Family",88.0,8.0,73.0,1541.0,7,1
The Little Princess,"Classics, Comedy, Drama, Kids & Family, Musical & Performing Arts",88.0,8.0,81.0,15278.0,7,1
A Little Romance,"Art House & International, Comedy, Drama, Romance",71.0,28.0,85.0,5213.0,20,8
The Little Shop of Horrors,"Classics, Comedy, Cult Movies, Horror",92.0,13.0,55.0,54898.0,12,1
Little Shop of Horrors,"Comedy, Horror, Musical & Performing Arts, Science Fiction & Fantasy",90.0,51.0,79.0,181640.0,46,5
Little Women,"Classics, Drama, Kids & Family, Romance",94.0,16.0,78.0,9776.0,16,2
Little Women,"Classics, Drama, Kids & Family, Romance",71.0,7.0,83.0,9808.0,5,2
Lock Up,"Action & Adventure, Drama, Mystery & Suspense",23.0,13.0,50.0,15515.0,3,10
Lolita,"Classics, Comedy, Drama",91.0,43.0,84.0,46005.0,39,4
Long Day's Journey Into Night,"Classics, Drama",94.0,17.0,86.0,3067.0,16,1
"The Long, Hot Summer","Classics, Drama",89.0,18.0,82.0,6137.0,16,2
The Longest Yard,"Action & Adventure, Classics, Comedy, Drama",79.0,34.0,75.0,81341.0,27,7
Look Back in Anger,"Art House & International, Classics, Drama",92.0,12.0,76.0,1295.0,11,1
The Lost Patrol,"Action & Adventure, Classics, Drama",100.0,6.0,65.0,439.0,6,0
The Love Bug,"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",76.0,17.0,66.0,39845.0,13,4
Lovesick,"Comedy, Romance",40.0,5.0,29.0,802.0,2,3
Lust for Life,"Classics, Drama",100.0,10.0,81.0,3271.0,10,0
M,"Art House & International, Drama, Mystery & Suspense",100.0,58.0,95.0,36181.0,58,0
Madame X,"Art House & International, Classics, Drama",60.0,5.0,80.0,681.0,3,2
Made in Heaven,"Comedy, Drama, Science Fiction & Fantasy, Romance",50.0,12.0,83.0,3887.0,6,6
The Magic Flute (Trollflöjten),"Art House & International, Comedy, Musical & Performing Arts, Science Fiction & Fantasy, Television, Romance",91.0,23.0,85.0,4554.0,21,2
The Magnificent Ambersons,"Classics, Drama",89.0,44.0,85.0,6468.0,39,5
The Magnificent Seven,"Action & Adventure, Classics, Drama, Western",89.0,44.0,87.0,54026.0,39,5
